type,geometry_type,geometry_coordinates_long,geometry_coordinates_lat,properties_Place_name
feature,Point,19.0107327,47.0903328,Dömsöd
feature,Point,24.3450737,48.2595628,Körösmezo
feature,Point,19.503304,47.162494,Botfalva
feature,Point,22.130818,47.8390013,Nyírbátor
feature,Point,18.232266,46.0727345,Bécs
feature,Point,19.0913148,47.56489149999999,Ujpest
feature,Point,20.9595443,47.0313217,Dévaványa
feature,Point,19.676666,47.6656965,Hatvan
feature,Point,19.503304,47.162494,Halmi
feature,Point,19.503304,47.162494,Ugonya
feature,Point,19.503304,47.162494,Büd-Szt.Mihály
feature,Point,17.7331443,47.1147506,Szentgál
feature,Point,19.503304,47.162494,Csornok
feature,Point,20.7618268,48.5452009,Komjáti
feature,Point,18.1267006,47.7390852,Komárom
feature,Point,17.9093019,47.1028087,Veszprém
feature,Point,19.503304,47.162494,Eötvösfalva
feature,Point,19.503304,47.162494,Kisapsa
feature,Point,19.503304,47.162494,Pusztakvass#
feature,Point,22.9020738,48.3504123,Drágabárdfalva
feature,Point,19.503304,47.162494,Fülek
feature,Point,19.2937136,48.0711866,Balassagyarmat
feature,Point,19.503304,47.162494,Mircse
feature,Point,19.503304,47.162494,Polena
feature,Point,18.965422,47.989441,Királyháza
feature,Point,23.1880051,48.1364648,Csarnatö
feature,Point,19.503304,47.162494,Rozsnyó
feature,Point,19.503304,47.162494,Pestszentl?rincz
feature,Point,17.08134612966608,46.93855799493657,Nádaspatak
feature,Point,21.1185953,47.3216529,Püspökladány
feature,Point,18.7078968,47.6272993,Kis Kirva
feature,Point,21.0877309,46.6735939,Békéscsaba
feature,Point,19.503304,47.162494,Uglya
feature,Point,16.9355448,47.29410499999999,Rábabogyoszló
feature,Point,24.004594,47.973813,Nagybocskó
feature,Point,21.90337,47.3788079,Nagyléta
feature,Point,22.9825789,48.2376578,Magyarkomját
feature,Point,19.503304,47.162494,Kishalmágy
feature,Point,19.503304,47.162494,Bártfa
feature,Point,19.503304,47.162494,Ulicskriva
feature,Point,19.503304,47.162494,Hosztovize
feature,Point,19.503304,47.162494,Nagybánya
feature,Point,17.4613774,45.9584735,Barcs
feature,Point,22.3161391,47.9515675,Mátészalka
feature,Point,19.503304,47.162494,Majdánka
feature,Point,19.503304,47.162494,Szászrég
feature,Point,19.503304,47.162494,Alsódomonya
feature,Point,23.9117575,47.98488220000001,Középapsa
feature,Point,22.9443562,48.2791875,Beregkövesd
feature,Point,19.503304,47.162494,Sala
feature,Point,19.503304,47.162494,Turz
feature,Point,19.503304,47.162494,Kusmina
feature,Point,20.7363644,46.4107596,Tótkomlós
feature,Point,17.4376764,47.1035622,Devecser
feature,Point,19.0433393,47.4653048,Nagysurány
feature,Point,19.503304,47.162494,Berezova
feature,Point,21.9780619,48.4249637,Királyhelmec
feature,Point,19.503304,47.162494,Dolha
feature,Point,19.503304,47.162494,Poszony
feature,Point,19.503304,47.162494,Berekövesd
feature,Point,19.066142,47.4243579,Csepe
feature,Point,22.2699385,48.0243439,Nyírparasznya
feature,Point,19.503304,47.162494,Ilonca
feature,Point,17.0239011,47.4320792,Csánig
feature,Point,22.1842213,48.8489529,Remetevasgyár
feature,Point,19.503304,47.162494,Fels?ripnyice
feature,Point,19.503304,47.162494,Szentmiklós
feature,Point,20.3772284,47.9025348,Eger
feature,Point,21.7244053,47.9495324,Nyíregyháza
feature,Point,19.503304,47.162494,Érsekkéty
feature,Point,19.503304,47.162494,Szillsárkány
feature,Point,19.503304,47.162494,Badaló
feature,Point,18.0325771,46.7322262,Tab
feature,Point,20.5266647,47.2492059,Fegyvernek
feature,Point,19.503304,47.162494,Nagyszöllös
feature,Point,20.1981562,46.8021192,Szelevény
feature,Point,21.3436582,48.1398687,Mez?kövesd
feature,Point,21.9085991,47.6899404,Nyíradony
feature,Point,19.503304,47.162494,Kalini
feature,Point,19.503304,47.162494,Szeklence
feature,Point,17.7608985,46.6205718,Gamás
feature,Point,18.1700065,48.5589454,Nagytapolcsány
feature,Point,19.503304,47.162494,Irhols
feature,Point,19.503304,47.162494,Fels?szopor
feature,Point,21.3555868,47.2549739,Csap
feature,Point,19.2035068,45.8523803,Nemesmilitics
feature,Point,19.503304,47.162494,Takcsány
feature,Point,19.1084883,47.5355148,Gyetva
feature,Point,21.3417333,47.6145296,Balmazújváros
feature,Point,19.503304,47.162494,Lazony
feature,Point,20.9051607,47.8207081,Mezocsát
feature,Point,23.2849196,47.74750780000001,Szinérváralj
feature,Point,19.8515197,46.7112802,Kiskunfélegyháza
feature,Point,22.11008971704429,46.78301994976988,Kralova u/Tiszo
feature,Point,19.503304,47.162494,Felsoveresmarton
feature,Point,19.503304,47.162494,Hévmagyarad
feature,Point,19.0970722,47.3536817,Dunaharaszti
feature,Point,20.194483,47.9319682,Sirok
feature,Point,19.503304,47.162494,Kistoronya
feature,Point,19.9294927,47.7772651,Gyöngyös
feature,Point,20.4809265,46.2219071,Makó
feature,Point,19.066142,47.4243579,Csepel
feature,Point,19.503304,47.162494,Tiszasárvár
feature,Point,18.2414807,46.9326943,Enying
feature,Point,22.3883812,47.8650809,Nagyecsed
feature,Point,22.1497666,47.9341371,Kántorjánosi
feature,Point,19.503304,47.162494,Iloncán
feature,Point,24.700762,46.7710931,Szászrégen
feature,Point,19.503304,47.162494,Marosvásárhely
feature,Point,19.7999813,48.0935237,Salgótarján
feature,Point,20.047408,45.614386,Óbecse
feature,Point,19.503304,47.162494,Nagyfalu (Veli#na)
feature,Point,22.4723243,48.7359203,Perecseny
feature,Point,19.503304,47.162494,Csapovce
feature,Point,19.503304,47.162494,Beregpapfalva
feature,Point,18.3896419,47.56945289999999,Bánhida
feature,Point,19.503304,47.162494,Magyarberét
feature,Point,18.1452879,46.3828653,Dombóvár
feature,Point,17.6742282,46.7098826,Szöllösgyörök
feature,Point,21.8889241,48.25589369999999,Cigánd
feature,Point,18.4299158,46.2693702,Munkács-Váralja
feature,Point,19.503304,47.162494,Pátrona
feature,Point,19.503304,47.162494,Tiszafehéregyháza
feature,Point,19.503304,47.162494,Kövesdliget
feature,Point,36.675747,50.189498,Ternova
feature,Point,19.503304,47.162494,Tornalja
feature,Point,19.503304,47.162494,Iza
feature,Point,19.133333,47.45,Kispest
feature,Point,18.9840376,46.5281229,Kalocsa
feature,Point,19.1746722,47.5108652,Sashalom
feature,Point,19.503304,47.162494,Keselymez?
feature,Point,22.287883,48.6208,Felsoverecke és Ungvár
feature,Point,17.6500124,46.5831195,Somogyvár
feature,Point,19.503304,47.162494,Visk
feature,Point,19.0585821,47.5843759,Csillaghegy
feature,Point,19.119317,47.4332879,Pesterzsébet
feature,Point,19.503304,47.162494,Reteg
feature,Point,22.0823558,48.2181151,Kisvárda
feature,Point,19.1660152,47.5250909,Rákosszentmihály
feature,Point,19.503304,47.162494,##
feature,Point,19.503304,47.162494,Turjaporosk?
feature,Point,23.041894,48.3117809,Irsava
feature,Point,22.5708367,48.5982586,Nagygajdos
feature,Point,17.7266636,48.18954129999999,Galánta
feature,Point,19.503304,47.162494,Kisapasa
feature,Point,18.9877826,47.474153,Nagyida
feature,Point,19.503304,47.162494,Pestszentl?rinc
feature,Point,16.9294867,47.2524196,Sárvár
feature,Point,19.503304,47.162494,Kolbaszova
feature,Point,19.503304,47.162494,Fels?bisztra
feature,Point,19.1351781,47.7841803,Vác
feature,Point,19.2614256,47.47544509999999,Rákoskeresztúr
feature,Point,19.503304,47.162494,Klagenfurt
feature,Point,19.503304,47.162494,Újvidék
feature,Point,24.2128943,48.0545898,Rahó
feature,Point,21.6254485,47.5288879,Debrecen
feature,Point,20.3500536,48.0578657,Bélapátfalva
feature,Point,19.503304,47.162494,Nagyszöllos
feature,Point,18.41852,46.1591341,Pécsvárad
feature,Point,18.8912626,47.2482238,Ercsi
feature,Point,19.503304,47.162494,Párkány
feature,Point,18.4602445,47.39414679999999,Csákvár
feature,Point,19.503304,47.162494,Vica
feature,Point,19.503304,47.162494,Alsóneresznice
